  0 ,  0.004622 
  1 ,  0.018410 
  2 ,  0.008894 
  3 ,  0.009083 
  4 ,  0.002626 
  5 ,  0.001294 
  6 ,  0.000646 
  7 ,  0.000339 
  8 ,  0.000159 
  9 ,  0.000063 
  10 ,  0.000009 
  11 ,  0.000000 
  12 ,  0.000000 
  13 ,  0.000000 
  14 ,  0.000000 
  15 ,  0.000000 
  16 ,  0.000000 
  17 ,  0.000000 
  18 ,  0.000000 
  19 ,  0.000000 
  20 ,  0.000000 
  21 ,  0.000000 
  22 ,  0.000000 
  23 ,  0.000000 
  24 ,  0.000001 
  25 ,  0.000002 
  26 ,  0.000004 
  27 ,  0.000007 
  28 ,  0.000018 
  29 ,  0.000088 
