    æ‡¿Î    : ∏¥‘≠÷µ£¨        ≥§≤®£¨         ÷–≤®£¨        ∂Ã≤® 
  0.000m: -0.247545 , -0.011704 ,  -0.047152, -0.079556 
  0.002m: -1.863406 , -0.011563 ,  -0.047803, -0.071837 
  0.004m: 1.709547 , -0.011413 ,  -0.048075, -0.056837 
  0.006m: -0.953775 , -0.011253 ,  -0.047963, -0.036407 
  0.008m: 0.115011 , -0.011084 ,  -0.047469, -0.013046 
  0.010m: 1.001556 , -0.010905 ,  -0.046595, 0.010422 
  0.012m: -0.838377 , -0.010718 ,  -0.045349, 0.031208 
  0.014m: -0.156943 , -0.010522 ,  -0.043745, 0.046913 
  0.016m: 0.072336 , -0.010318 ,  -0.041796, 0.055826 
  0.018m: 0.285830 , -0.010106 ,  -0.039523, 0.057125 
  0.020m: -0.132382 , -0.009886 ,  -0.036948, 0.050956 
  0.022m: 0.537910 , -0.009659 ,  -0.034098, 0.038382 
  0.024m: -0.549702 , -0.009426 ,  -0.031000, 0.021209 
  0.026m: -0.436506 , -0.009185 ,  -0.027685, 0.001724 
  0.028m: 0.089191 , -0.008938 ,  -0.024187, -0.017628 
  0.030m: -0.060121 , -0.008686 ,  -0.020541, -0.034570 
  0.032m: -0.019573 , -0.008427 ,  -0.016782, -0.047278 
  0.034m: 0.397170 , -0.008164 ,  -0.012947, -0.054596 
  0.036m: -0.034337 , -0.007896 ,  -0.009074, -0.056142 
  0.038m: -0.372430 , -0.007623 ,  -0.005200, -0.052298 
  0.040m: -0.056418 , -0.007346 ,  -0.001362, -0.044098 
  0.042m: -0.396302 , -0.007066 ,  0.002404, -0.033028 
  0.044m: 0.029675 , -0.006783 ,  0.006064, -0.020772 
  0.046m: 0.231026 , -0.006496 ,  0.009585, -0.008952 
  0.048m: 0.519656 , -0.006207 ,  0.012935, 0.001109 
  0.050m: -0.524895 , -0.005916 ,  0.016087, 0.008556 
  0.052m: 0.134925 , -0.005623 ,  0.019013, 0.013087 
  0.054m: -0.364445 , -0.005329 ,  0.021692, 0.014952 
  0.056m: 0.242770 , -0.005034 ,  0.024104, 0.014847 
  0.058m: 0.201583 , -0.004738 ,  0.026232, 0.013761 
  0.060m: 0.391000 , -0.004442 ,  0.028063, 0.012770 
  0.062m: -0.649823 , -0.004147 ,  0.029588, 0.012834 
  0.064m: 0.109936 , -0.003852 ,  0.030801, 0.014623 
  0.066m: -0.164957 , -0.003558 ,  0.031701, 0.018399 
  0.068m: 0.293116 , -0.003265 ,  0.032288, 0.023972 
  0.070m: 0.361982 , -0.002974 ,  0.032567, 0.030739 
  0.072m: 0.242437 , -0.002684 ,  0.032548, 0.037788 
  0.074m: -0.176398 , -0.002398 ,  0.032242, 0.044051 
  0.076m: -0.061013 , -0.002114 ,  0.031662, 0.048488 
  0.078m: -0.100085 , -0.001833 ,  0.030827, 0.050258 
  0.080m: -0.139512 , -0.001555 ,  0.029756, 0.048853 
  0.082m: 0.289357 , -0.001281 ,  0.028472, 0.044177 
  0.084m: 0.324465 , -0.001011 ,  0.026997, 0.036565 
  0.086m: 0.222863 , -0.000746 ,  0.025357, 0.026716 
  0.088m: -0.112208 , -0.000485 ,  0.023578, 0.015587 
  0.090m: 0.009077 , -0.000229 ,  0.021688, 0.004238 
  0.092m: -0.648128 , 0.000022 ,  0.019714, -0.006324 
  0.094m: 0.425637 , 0.000268 ,  0.017682, -0.015301 
  0.096m: 0.091473 , 0.000508 ,  0.015622, -0.022198 
  0.098m: 0.260003 , 0.000742 ,  0.013558, -0.026886 
  0.100m: -0.331320 , 0.000970 ,  0.011517, -0.029582 
  0.102m: 0.004430 , 0.001191 ,  0.009523, -0.030787 
  0.104m: -0.483830 , 0.001406 ,  0.007599, -0.031168 
  0.106m: 0.546128 , 0.001615 ,  0.005764, -0.031423 
  0.108m: 0.086192 , 0.001816 ,  0.004039, -0.032144 
  0.110m: 0.096238 , 0.002011 ,  0.002439, -0.033703 
  0.112m: -0.400080 , 0.002198 ,  0.000980, -0.036181 
  0.114m: -0.155018 , 0.002378 ,  -0.000329, -0.039352 
  0.116m: -0.307328 , 0.002551 ,  -0.001477, -0.042719 
  0.118m: 0.111406 , 0.002716 ,  -0.002459, -0.045606 
  0.120m: 0.246245 , 0.002873 ,  -0.003270, -0.047275 
  0.122m: 0.045113 , 0.003023 ,  -0.003909, -0.047056 
  0.124m: 0.054187 , 0.003165 ,  -0.004378, -0.044471 
  0.126m: -0.122658 , 0.003299 ,  -0.004681, -0.039321 
  0.128m: -0.368396 , 0.003426 ,  -0.004824, -0.031732 
  0.130m: -0.277301 , 0.003544 ,  -0.004814, -0.022141 
  0.132m: 0.261213 , 0.003655 ,  -0.004663, -0.011242 
  0.134m: -0.039331 , 0.003757 ,  -0.004381, 0.000121 
  0.136m: 0.573143 , 0.003852 ,  -0.003983, 0.011073 
  0.138m: -0.274401 , 0.003939 ,  -0.003484, 0.020834 
  0.140m: -0.119898 , 0.004018 ,  -0.002898, 0.028827 
  0.142m: -0.338967 , 0.004090 ,  -0.002241, 0.034749 
  0.144m: 0.459032 , 0.004154 ,  -0.001532, 0.038596 
  0.146m: -0.022813 , 0.004210 ,  -0.000786, 0.040635 
  0.148m: 0.410037 , 0.004259 ,  -0.000021, 0.041337 
  0.150m: -0.414662 , 0.004300 ,  0.000747, 0.041274 
  0.152m: -0.103963 , 0.004334 ,  0.001502, 0.041005 
  0.154m: -0.179515 , 0.004361 ,  0.002229, 0.040969 
  0.156m: 0.524258 , 0.004381 ,  0.002914, 0.041403 
  0.158m: 0.117868 , 0.004395 ,  0.003544, 0.042294 
  0.160m: 0.232924 , 0.004401 ,  0.004108, 0.043389 
  0.162m: -0.039136 , 0.004401 ,  0.004595, 0.044236 
  0.164m: -0.269510 , 0.004395 ,  0.004998, 0.044269 
  0.166m: -0.117441 , 0.004382 ,  0.005309, 0.042919 
  0.168m: 0.029436 , 0.004364 ,  0.005525, 0.039719 
  0.170m: 0.110369 , 0.004340 ,  0.005641, 0.034397 
  0.172m: 0.295792 , 0.004310 ,  0.005657, 0.026943 
  0.174m: 0.321377 , 0.004276 ,  0.005573, 0.017623 
  0.176m: -0.262984 , 0.004236 ,  0.005391, 0.006958 
  0.178m: -0.036750 , 0.004191 ,  0.005115, -0.004344 
  0.180m: -0.516728 , 0.004142 ,  0.004751, -0.015486 
  0.182m: 0.263023 , 0.004088 ,  0.004304, -0.025693 
